V1,V2,weight
marilucha2022,CGMiguel25,2
VictorCortesC,ChalecosAmarill,2
aarpita1,ChalecosAmarill,2
s_yosoy,CharlyM54754699,2
JPBrooks13,Chembaby2,2
GaryField4,chilepuro,2
Bo20S,chilepuro,2
getupgetfree,chrislhayes,2
scitydreamer,ChrisMurphyCT,2
ResistorPl,ChumelTorres,2
0_Outlander,CIDH,2
M76Marcelo,CIDH,2
AbbyMartin,CincyNewsGuy,2
MemoDylan,CiroGomezL,2
jlcervys,CiroGomezL,2
fbm33,CitlaHM,2
carmen_scz,ClapSoy35,2
WINYROBLES,Claudiashein,2
Levi_de_melo,Clauwild1,2
CdlzSara,CMonteroOficial,2
melisaibarra7,CMonteroOficial,2
Wodonoz,CMonteroOficial,2
Alessan33224683,CMonteroOficial,2
yinotrjera,CMonteroOficial,2
indignadasalva,CMonteroOficial,2
espartacomed,CMonteroOficial,2
coletteandre02,CMonteroOficial,2
NormanFPearl,Cmurillocamacho,2
TheNYSocialist,CNN,2
PameBot,CNNEE,2
AaronRios90,CNNEE,2
GerardMirandaOK,CNNEE,2
Flipper_lp,CNNEE,2
Claudia68748066,CNNEE,2
Claudia68748066,CNNEE,2
natturezza,CNNEE,2
BoliviaLibre18,CNNEE,2
WilliamA2022,CNNEE,2
mara_rv95,codepink,2
ponchoherrera,ColibriNocturno,2
verdolaga2323,ComunesCoL,2
MikeWu36,CptJinglePants,2
CapiLibertaria,CristianVelaar,2
S_SERCHPOWER,CristinaDelAgu6,2
marcoci56595060,CubaEsen,2
chiguay2012,CuestaArribo,2
EclecticRadical,Daniel_IV_,2
eldukeluke,Daniela38223504,2
canedo_dennis,DanielaLizrrag3,2
kathia_kohler,DanielCatalano_,2
fisu88,Data24comar,2
Primary_Sinema,daveweigel,2
DDerribador,David_50Z,2
BottomStructure,DavidGriscom,2
carlixpc,DAVlD50,2
Elizabe18779064,Daynor67177888,2
Lichita63314079,DelegArgBolivia,2
CitizenSleepy,DemSocialists,2
garcia_kolia,DeZurdaTeam,2
MichelFR7,DeZurdaTeam,2
ZoeDeLaPaz3,DeZurdaTeam,2
Taoro8,DiazCanelB,2
ilianahcuba,DiazCanelB,2
Taoro8,DiazCanelBF,2
AnaGAZA1,Diegohiok1,2
Ademar_Valda,DiegoPary,2
HerlanRene,Dieguex6,2
troyrudd,Dildiwana11,2
josh_418,dilsdoes,2
calebmaupin,dissidentrob,2
EnasSilva3,DraClaudiaBr,2
chezurdo1948,DrSuazo915,2
JafafaHots,drumming_monkey,2
themariefonseca,EclecticRadical,2
cecyfernandez,econokafka,2
fabianrr3,econokafka,2
AccinLibertari1,ecuarauz,2
patitoreyna2,EdgardoDepetri,2
NAPOPSA,edgarflores25,2
SuperRodo69,EIJefeDiego,2
yaciramendoza,ejutv,2
Quetzal0518,El_Universal_Mx,2
martinaillon77,ElaiseH,2
flaca_marti,elcoya1977,2
MonicaAparicioA,eldiario_net,2
dianaor03327112,EllaCantaloupeH,2
CamilaPlomo,ElMachoAguero,2
gladiadorfunk,ElMatiLop,2
rgriesemer3,elonmusk,2
StewartMills,elonmusk,2
disclosurebol,elymoraleslapaz,2
MairimJimenez4,enriquek28,2
alopezescarre,entrammbasaguas,2
DeMilenca,entrammbasaguas,2
hacknesw,entrammbasaguas,2
griselda_q,entrammbasaguas,2
DeMilenca,entrammbasaguas,2
hugo_bascope,entrammbasaguas,2
ESCORPIO_58,entrammbasaguas,2
carlixpc,ErbolDigital,2
libertario_chr,ErbolDigital,2
NoelVaz65398394,Ericpr40,2
RaguanHe,ErikaOSanoja,2
electgarcia,ErikaOSanoja,2
MCristinaMonta2,ernestosamperp,2
MechaRegistrada,ertiocampora,2
funofdarwin,ertiocampora,2
alejandrojp99,ESanchezcub,2
ElMachoAguero,ESanchezcub,2
Amp_Bald63,esperanza_py,2
rayleon1515,estarc62,2
alejacangreja23,EvaCopa_Bol,2
OfMoira,EvaPutzova,2
simsilvac,evoespueblo,2
EduVarg86740333,evoespueblo,2
CuecaLabs,evoespueblo,2
tsunamichh,evoespueblo,2
VibraMucha,evoespueblo,2
Lloviznando,evoespueblo,2
deahisitonomas,evoespueblo,2
